FID,Name,CEM_No,X,Y
0,鴻禧閣,1337,113.5422757,22.19423153
1,千代城市賓館,2036,113.5424702,22.19336118
2,海邊酒店,205,113.5423487,22.19455492
3,勝橋,244,113.5433132,22.19259563
4,新東方賓館,1891,113.5426184,22.1923282
5,新馬路,118,113.5425979,22.19209938
6,衛生分局,629,113.5423789,22.19323922
7,通益,504,113.5400067,22.18931837
8,廣州酒店,1610,113.5422411,22.19308396
9,清平,116,113.5418176,22.19118464
10,裕豐,1299,113.5422959,22.19187904
11,新馬路,159,113.5428306,22.19192717
12,6 號A碼頭,297,113.5388366,22.18843328
13,金城,481,113.5406769,22.18952692
14,亨溢濠軒,2057,113.5421004,22.19338795
15,寶來,74,113.542911,22.19840585
16,十六薈,1849,113.5421288,22.19350226
17,平安閣,399,113.5427257,22.19780416
18,新鴻,1309,113.5433069,22.19813315
19,宏基,397,113.5489738,22.20532699
20,宏德,394,113.5492277,22.20619508
21,白朗古 (二),490,113.549617,22.20658452
22,勞校職中,1311,113.5517894,22.20797997
23,柴船尾,115,113.5429173,22.19138787
24,誠興,508,113.5432263,22.19153237
25,英華名苑,18,113.542043,22.19411396
26,百利,695,113.5480165,22.20082529
27,新都,328,113.5484483,22.2011406
28,林茂酒店,1553,113.5428938,22.19900396
29,聯昌,377,113.5447915,22.20038875
30,五洋酒店,2047,113.5415131,22.19124922
31,下環街 (臨時),1827,113.5383037,22.18658705
32,啟源,684,113.5412513,22.18889737
33,永富,345,113.5491223,22.20210995
34,啟基,325,113.5476625,22.19951384
35,典雅灣,1564,113.5426728,22.19957134
36,祐適,268,113.5474487,22.20082535
37,萬利,221,113.5470503,22.20014805
38,環球,204,113.547225,22.2002523
39,白朗古 (一),489,113.5498149,22.20593847
40,宏泰,341,113.5488836,22.20609185
41,宏信,421,113.5487557,22.20594896
42,亞洲,203,113.5492177,22.2020056
43,宏富,418,113.547801,22.20642491
44,美居廣場,495,113.5473909,22.20662652
45,新福花園,807,113.5369109,22.18466041
46,萬成,503,113.5407642,22.20931729
47,伍號B2碼頭,1401,113.5379194,22.18725928
48,華英樓,636,113.543605,22.19829111
49,永寶閣,333,113.5478938,22.20072563
50,新利,527,113.5462564,22.20045538
51,祐順,284,113.5469155,22.19915247
52,宏豐,227,113.5494213,22.2055366
53,嘉應花園(三),1231,113.5485788,22.20675869
54,利昌,376,113.5435206,22.19978992
55,宏佳,2,113.5470228,22.20614777
56,渡船街婦聯大樓,1692,113.5488733,22.19894603
57,廣興,623,113.5441038,22.19933995
58,駿悅軒,1624,113.5431386,22.20017212
59,美樂花園,395,113.5428207,22.20981475
60,帶水圍,818,113.539021,22.18662833
61,巨富花園,694,113.5465956,22.19806263
62,興華閣,329,113.5431783,22.19971898
63,宏開 (五),497,113.5477761,22.20535779
64,工聯大廈,1831,113.5429939,22.19669711
65,麻雀仔,313,113.5414602,22.18932502
66,下環小販,249,113.539611,22.18607275
67,惠愛,526,113.5479518,22.19957683
68,朗悅居,1558,113.5467525,22.19996819
69,明海灣,1542,113.5433268,22.20022703
70,權昌卸庭,1485,113.549931,22.20406067
71,狗場,26,113.5504234,22.20629803
72,粵澳新通道 (Temp),2056,113.5469971,22.20910901
73,大明閣,1369,113.5522352,22.20772758
74,大昌,515,113.5479317,22.19996366
75,添華,210,113.5480189,22.20150317
76,太平 (二),572,113.552745,22.20956337
77,自來水 (S.A.A.M.),838,113.5402508,22.20880791
78,偶像圍,161,113.5395642,22.18600508
79,黃金閣,524,113.5429474,22.19706558
80,新華大廈,429,113.5434126,22.19645484
81,板堆里,472,113.546044,22.19789314
82,雅德,533,113.5490045,22.20222654
83,台山商場,582,113.5523868,22.20960908
84,台山 (十一),460,113.5509246,22.20997875
85,台山 (八),459,113.5525467,22.20964734
86,台山 (六),575,113.5518397,22.20940923
87,利達新村,1,113.5529355,22.20782174
88,鴻運閣,413,113.5497098,22.20261019
89,沙梨頭南 (1),2038,113.5484187,22.20313019
90,宏開 (二),438,113.5480684,22.20489597
91,太平,22,113.5527041,22.20910559
92,寶華工貿,609,113.5436383,22.20576392
93,勞校,1422,113.5488781,22.19877405
94,中山新村,385,113.5378361,22.18464569
95,福寧,200,113.5468535,22.19815408
96,南慧閣,516,113.5527317,22.20929502
97,多寶,528,113.5495848,22.20485886
98,祐輝,214,113.5506123,22.20397639
99,樂意居,845,113.5500634,22.20359155
100,環星閣,494,113.539366,22.18569553
101,鄭家大屋,1830,113.5392552,22.18550095
102,新威,347,113.5407708,22.18978231
103,通利,416,113.5471064,22.19929335
104,雅新,72,113.5451722,22.20017441
105,青洲坊 (2),1812,113.5489301,22.20790613
106,青洲坊 (1),1811,113.5487315,22.20792678
107,台山商場(三),1557,113.5522339,22.20953708
108,水上街市,1607,113.5425366,22.19891086
109,青洲社屋(二 ),1660,113.5427551,22.20916539
110,青洲社屋(A ),1693,113.5425103,22.20940934
111,青洲社屋,1627,113.5441775,22.20905498
112,蓮居賓館,2034,113.5449843,22.19295404
113,逸麗 (一),878,113.5499038,22.20799063
114,新新酒店,610,113.5412285,22.1904155
115,新福閣,825,113.5416068,22.18904832
116,紅街市,332,113.5502323,22.20209207
117,信潔花園,1484,113.5463931,22.20102579
118,勞校,1530,113.547235,22.201157
119,台山商業中心(二),870,113.551805,22.20897002
120,信濤灣,1438,113.5441923,22.20058609
121,新南,458,113.553448,22.21001078
122,宏開 (三),439,113.5481264,22.2054381
123,太豐新村,576,113.553237,22.20998426
124,青洲社屋(三),1661,113.5434954,22.20919169
